% Data from J. Handl
% http://personalpages.manchester.ac.uk/mbs/Julia.Handl/generators.html
%
@RELATION 2d-4c-no4

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
-2.06188,-9.29259,1
0.133719,-9.20182,1
1.77264,-2.43166,2
1.14174,-2.73004,2
1.62984,-3.10915,2
3.03349,-2.45485,2
0.376811,-2.2383,2
1.43279,-2.62375,2
1.31763,-2.89269,2
0.751903,-1.5617,2
0.172882,-2.62339,2
1.34245,-2.85417,2
1.6475,-2.26437,2
0.658072,-2.21627,2
1.6066,-2.18164,2
1.45784,-2.41959,2
1.73225,-2.07237,2
1.88908,-2.54786,2
1.96802,-1.44093,2
1.26783,-3.13925,2
2.419,-3.07209,2
1.9146,-1.44326,2
2.31122,-2.47512,2
0.791975,-2.55004,2
1.10852,-1.88345,2
1.5508,-3.04421,2
1.12775,-1.52368,2
1.10128,-2.73158,2
1.6459,-2.76982,2
1.5589,-2.44784,2
0.431647,-1.78456,2
2.38091,-2.19976,2
0.847288,-2.60519,2
2.19088,-2.16581,2
2.77191,-2.29934,2
1.48314,-2.33727,2
1.80547,-2.11578,2
1.19822,-2.35286,2
2.52556,-2.28012,2
0.741921,-2.75752,2
1.66166,-2.86533,2
1.59568,-2.55093,2
1.27717,-2.18205,2
3.14,-2.52073,2
2.25503,-3.48048,2
2.39737,-2.20416,2
2.35404,-2.71742,2
-0.0263133,-1.64728,2
2.07477,-2.54141,2
1.52427,-1.00068,2
1.52041,-1.9814,2
1.80394,-2.77412,2
1.27651,-2.3812,2
1.17206,-2.15489,2
1.35454,-2.39341,2
0.88811,-1.4092,2
1.90923,-2.17058,2
1.66456,-2.38687,2
1.61761,-3.28098,2
0.815188,-2.18725,2
0.538328,-1.35979,2
0.830873,-2.49938,2
1.48857,-3.48823,2
2.33224,-3.41238,2
-0.205114,-1.73946,2
1.33101,-1.69371,2
1.60985,-1.23124,2
0.280279,-1.12915,2
1.16215,-2.66692,2
1.60487,-3.07982,2
1.27485,-2.75665,2
0.337178,-2.61126,2
1.55037,-2.64698,2
0.90716,-2.93327,2
0.543902,-2.95128,2
1.16686,-2.20022,2
2.28279,-2.28884,2
1.51229,-2.10956,2
1.20458,-2.56669,2
1.18415,-2.4009,2
2.44473,-2.9036,2
2.21016,-2.37535,2
0.831735,-2.65024,2
1.78827,-2.06755,2
2.19964,-2.16993,2
1.30159,-1.2803,2
1.37002,-2.51256,2
2.71801,-2.91054,2
1.45744,-1.94154,2
0.539481,-2.35744,2
0.956062,-1.98366,2
2.1147,-1.88288,2
2.25356,-2.00256,2
0.512671,-1.45896,2
0.983868,-2.47487,2
2.6982,-3.02867,2
0.727801,-3.01337,2
2.17294,-3.31027,2
0.428432,-3.03518,2
1.09284,-3.12663,2
1.06296,-3.12271,2
1.21159,-2.2892,2
1.44387,-2.78391,2
1.46517,-3.28624,2
1.65428,-3.67964,2
0.763122,-2.79978,2
1.2398,-1.69461,2
0.0182375,-2.29248,2
1.88524,-2.98892,2
2.60746,-2.52804,2
1.86796,-2.96447,2
1.44833,-3.30456,2
1.91393,-2.13566,2
1.18522,-2.59158,2
2.03699,-2.51207,2
1.45083,-2.00239,2
0.842853,-1.04275,2
1.88153,-3.17107,2
1.97001,-3.33694,2
2.55593,-2.85753,2
1.11262,-2.20715,2
2.91257,-1.51578,2
1.45434,-3.27428,2
2.67445,-2.66624,2
1.67476,-2.0121,2
0.724803,-2.13416,2
0.935234,-2.23741,2
1.52411,-1.90487,2
1.53353,-2.42473,2
0.12822,-2.6234,2
1.77389,-2.46838,2
0.826088,-2.03768,2
1.47658,-2.47384,2
3.06613,-3.40332,2
0.971365,-2.08513,2
2.21713,-1.8549,2
-13.5318,6.37833,3
-11.0555,2.90378,3
-3.80796,3.72751,3
-8.11853,4.52904,3
-2.20229,4.12223,3
-8.30549,5.06214,3
-11.2718,3.87489,3
-0.419459,3.1626,3
-7.32285,5.21627,3
-12.2149,6.14093,3
-12.5029,4.26209,3
-3.74018,4.89175,3
-3.0901,3.64022,3
-9.50254,4.0705,3
-8.57279,4.80497,3
-15.7176,4.1029,3
-2.44809,2.90384,3
-10.7203,4.62694,3
-1.96973,4.60647,3
-7.83976,4.00496,3
